"commodity","marketCenter","variety","arrrivals","modalPrice","minMaxPrice"
"Cauliflower","Bariwala ,Punjab","Other","0.04 Tonnes","200.00","200.00 / 200.00"
"Banana","Meham ,Haryana","Other","1.1 Tonnes","1200.00","1200.00 / 1200.00"
"Onion","Badayoun ,Uttar Pradesh","Nasik","15 Tonnes","2800.00","2750.00 / 2900.00"
"Brinjal","Bhanjanagar ,Odisha","Other","0.1 Tonnes","2200.00","2000.00 / 2400.00"
"Potato","Gurgaon ,Haryana","Other","76.3 Tonnes","450.00","400.00 / 500.00"
"Cucumber","Nabha ,Punjab","Other","0.9 Tonnes","2400.00","1700.00 / 3000.00"
"Groundnut","Dhoraji ,Gujarat","G20","5.9 Tonnes","5655.00","4750.00 / 5880.00"
"Potato","Dhuri ,Punjab","Local","0.9 Tonnes","650.00","500.00 / 700.00"
"Carrot","Tikonia ,Uttar Pradesh","Carrot","0.2 Tonnes","910.00","900.00 / 920.00"
"Watermelon","Barnala ,Punjab","Other","0.14 Tonnes","1750.00","1750.00 / 1750.00"
"Onion","Doraha ,Punjab","Other","0.94 Tonnes","3694.00","3000.00 / 3800.00"
"Banana","Lakhimpur ,Uttar Pradesh","Banana - Ripe","180 Tonnes","2150.00","2100.00 / 2190.00"
"Potato","Ramanagara ,Karnataka","Potato","1 Tonnes","1800.00","1500.00 / 2000.00"
"Pomegranate","Kangra ,Himachal Pradesh","Other","0.6 Tonnes","12500.00","11000.00 / 13000.00"
"Gur","Choubepur ,Uttar Pradesh","Yellow","1.8 Tonnes","3400.00","3350.00 / 3450.00"
"Potato","Banga ,Punjab","Other","10.4 Tonnes","601.00","600.00 / 747.00"
"Gur","Safdarganj ,Uttar Pradesh","Yellow","0.5 Tonnes","3220.00","3200.00 / 3240.00"
"Chana","Lakhimpur ,Uttar Pradesh","Desi (Whole)","2.5 Tonnes","5270.00","5150.00 / 5300.00"
"Carrot","Chelakkara ,Kerala","Other","0.15 Tonnes","4600.00","4500.00 / 4800.00"
"Ridge gourd","Ramanagara ,Karnataka","Ridgeguard(Tori)","1 Tonnes","2200.00","2000.00 / 2500.00"
"Cauliflower","Kalanaur ,Punjab","Other","0.1 Tonnes","700.00","600.00 / 800.00"
"Potato","Maur ,Punjab","Other","1 Tonnes","600.00","500.00 / 700.00"
"Tomato","Kangra ,Himachal Pradesh","Other","2.2 Tonnes","2100.00","2000.00 / 2200.00"
"Carrot","Kot ise Khan ,Punjab","Other","1 Tonnes","900.00","800.00 / 1000.00"
"Capsicum","Chhachrauli ,Haryana","Other","0.04 Tonnes","3000.00","3000.00 / 3000.00"
"Bajra","Bhehjoi ,Uttar Pradesh","Deshi","9 Tonnes","1175.00","1150.00 / 1200.00"
"Pumpkins","Kathua ,Jammu and Kashmir","Other","2.3 Tonnes","1300.00","1200.00 / 1400.00"
"Kinnow","Kangra(Nagrota Bagwan) ,Himachal Pradesh","Kinnow","9 Tonnes","2200.00","2000.00 / 2400.00"
"Potato","Padra ,Gujarat","Other","16.8 Tonnes","950.00","750.00 / 1100.00"
"Bhindi","Palayam ,Kerala","Other","10 Tonnes","3800.00","3700.00 / 3900.00"
"Lemon","Harippad ,Kerala","Other","0.77 Tonnes","5000.00","5000.00 / 5500.00"
"Papaya","Ramanagara ,Karnataka","Papaya","NR","1000.00","800.00 / 1200.00"
"Cabbage","Khunthabandha ,Odisha","Other","0.1 Tonnes","1400.00","1400.00 / 1600.00"
"Ginger","Pulpally ,Kerala","Other","2 Tonnes","1450.00","1350.00 / 1550.00"
"Chana","Nandikotkur ,Andhra Pradesh","Gulabi","NR","4620.00","4620.00 / 4620.00"
"Cabbage","Safdarganj ,Uttar Pradesh","Cabbage","0.6 Tonnes","520.00","500.00 / 540.00"
"Cauliflower","Bhogpur ,Punjab","Other","0.5 Tonnes","300.00","300.00 / 300.00"
"Capsicum","Chamkaur Sahib ,Punjab","Other","0.3 Tonnes","3950.00","3900.00 / 4000.00"
"Garlic","Bariwala ,Punjab","Average","NR","2500.00","2500.00 / 2500.00"
"Banana","Harippad ,Kerala","Nendra Bale","0.76 Tonnes","2500.00","2500.00 / 3000.00"
"Bhindi","Pune(Khadiki) ,Maharashtra","Other","NR","2800.00","2600.00 / 3000.00"
"Bottle Gourd","Kangra ,Himachal Pradesh","Other","0.4 Tonnes","2100.00","2000.00 / 2200.00"
"Pumpkins","Tikonia ,Uttar Pradesh","Pumpkin","0.5 Tonnes","1160.00","1140.00 / 1170.00"
"Pomegranate","Nahan ,Himachal Pradesh","Other","0.05 Tonnes","5700.00","5500.00 / 6000.00"
"Lemon","Kangra(Baijnath) ,Himachal Pradesh","Lemon","1 Tonnes","5000.00","5000.00 / 5000.00"
"Mustard","Gangapurcity(Old Lal mandi) ,Rajasthan","Other","6.9 Tonnes","5203.00","4810.00 / 5595.00"
"Potato","Jhansi ,Uttar Pradesh","Desi","196 Tonnes","570.00","520.00 / 610.00"
"Apple","Kangra ,Himachal Pradesh","Other","0.4 Tonnes","12500.00","9000.00 / 16000.00"
"Brinjal","Udaipur(F&V) ,Rajasthan","Other","3.9 Tonnes","1600.00","1000.00 / 2200.00"
"Bhindi","Nabha ,Punjab","Other","0.1 Tonnes","6500.00","5000.00 / 7500.00"
"Grapes","Kangra(Nagrota Bagwan) ,Himachal Pradesh","Annabesahai","0.1 Tonnes","6250.00","5000.00 / 7500.00"
"Tapioca","Chelakkara ,Kerala","Other","0.25 Tonnes","2100.00","2000.00 / 2200.00"
"Sesame","Dhrol ,Gujarat","Other","0.8 Tonnes","7575.00","6950.00 / 8200.00"
"Bitter Gourd","Bhanjanagar ,Odisha","Bitter Gourd","0.1 Tonnes","2400.00","2200.00 / 2500.00"
"Cauliflower","Tanda(Rampur) ,Uttar Pradesh","Cauliflower","0.9 Tonnes","465.00","460.00 / 470.00"
"Brinjal","Banga ,Punjab","Other","0.2 Tonnes","1800.00","1800.00 / 1800.00"
"Bitter Gourd","Neyyatinkara ,Kerala","Bitter Gourd","0.1 Tonnes","4400.00","4300.00 / 4500.00"
"Cucumber","Aralamoodu ,Kerala","Cucumbar","0.7 Tonnes","3000.00","2000.00 / 3000.00"
"Capsicum","Perambra ,Kerala","Other","0.2 Tonnes","5500.00","5400.00 / 5600.00"
"Bhindi","Kangra ,Himachal Pradesh","Other","0.5 Tonnes","6000.00","5500.00 / 6500.00"
"Wheat","Haldaur ,Uttar Pradesh","Dara","1 Tonnes","1700.00","1650.00 / 1800.00"
"Brinjal","Aralamoodu ,Kerala","Brinjal","0.6 Tonnes","2000.00","2000.00 / 2000.00"
"Cauliflower","Chamkaur Sahib ,Punjab","Other","1.5 Tonnes","350.00","300.00 / 400.00"
"Grapes","Haathras ,Uttar Pradesh","Green","3.5 Tonnes","3500.00","3400.00 / 3600.00"
"Pineapple","Thrippunithura ,Kerala","Pine Apple","0.5 Tonnes","2600.00","2400.00 / 3000.00"
"Garlic","Nabha ,Punjab","Other","0.4 Tonnes","6200.00","5000.00 / 9000.00"
"Brinjal","Tanda(Rampur) ,Uttar Pradesh","Brinjal","0.2 Tonnes","565.00","560.00 / 570.00"
"Lemon","Gondal(Veg.market Gondal) ,Gujarat","Other","1.35 Tonnes","3500.00","2000.00 / 5000.00"
"Banana","Pulpally ,Kerala","Other","2 Tonnes","2300.00","2200.00 / 2400.00"
"Bajra","Choubepur ,Uttar Pradesh","Deshi","2.2 Tonnes","1370.00","1320.00 / 1420.00"
"Cabbage","Jhansi ,Uttar Pradesh","Cabbage","3 Tonnes","790.00","740.00 / 850.00"
"Onion","Payagpur ,Uttar Pradesh","Red","1.2 Tonnes","2800.00","2600.00  / 3100.00"
"Brinjal","Choubepur ,Uttar Pradesh","Brinjal","0.9 Tonnes","885.00","835.00 / 948.00"
"Bottle Gourd","Jhansi ,Uttar Pradesh","Bottle Gourd","2.4 Tonnes","1130.00","1080.00 / 1180.00"
"Bajra","Dhrol ,Gujarat","Other","0.1 Tonnes","1070.00","1000.00 / 1140.00"
"Cabbage","Harippad ,Kerala","Other","0.78 Tonnes","2000.00","2000.00 / 2500.00"
"Groundnut","Dhrol ,Gujarat","Other","10.3 Tonnes","5275.00","4675.00 / 5870.00"
"Barley","Choubepur ,Uttar Pradesh","Dara","1.4 Tonnes","1675.00","1625.00 / 1730.00"
"Papaya","Haathras ,Uttar Pradesh","Papaya","3 Tonnes","1500.00","1300.00 / 1600.00"
"Barley","Jhansi ,Uttar Pradesh","Dara","6 Tonnes","1440.00","1400.00 / 1500.00"
"Kinnow","Bhogpur ,Punjab","Other","0.3 Tonnes","900.00","900.00 / 900.00"
"Bhindi","Perambra ,Kerala","Other","0.2 Tonnes","4500.00","4400.00 / 4600.00"
"Bottle Gourd","Mawana ,Uttar Pradesh","Bottle Gourd","1 Tonnes","1055.00","1000.00 / 1150.00"
"Pumpkins","Haathras ,Uttar Pradesh","Pumpkin","1.5 Tonnes","900.00","800.00 / 1000.00"
"Cauliflower","Kalanaur ,Punjab","Other","0.1 Tonnes","700.00","600.00 / 800.00"
"Cabbage","Shadabad ,Uttar Pradesh","Cabbage","2.1 Tonnes","550.00","450.00 / 650.00"
"Apple","Safdarganj ,Uttar Pradesh","Delicious","0.6 Tonnes","7320.00","7270.00 / 7350.00"
"Rice","Jhansi ,Uttar Pradesh","III","16 Tonnes","2490.00","2390.00 / 2595.00"
"Carrot","Neyyatinkara ,Kerala","Other","0.1 Tonnes","3400.00","3300.00 / 3500.00"
"Bitter Gourd","Barnala ,Punjab","Other","0.03 Tonnes","6200.00","6200.00 / 6200.00"
"Bhindi","Kantabaji ,Odisha","Other","0.07 Tonnes","5000.00","4000.00 / 5000.00"
"Mustard","Badayoun ,Uttar Pradesh","Sarson(Black)","3.4 Tonnes","4630.00","4600.00 / 4670.00"
"Bitter Gourd","Hindol ,Odisha","Bitter Gourd","0.5 Tonnes","3800.00","3500.00 / 4000.00"
"Drumstick","Palayam ,Kerala","Other","5 Tonnes","11500.00","11400.00 / 11600.00"
"Gur","Lakhimpur ,Uttar Pradesh","Pathari","3600 Tonnes","2800.00","2750.00 / 2830.00"
"Grapes","Ashahipora (Anantnagh) ,Jammu and Kashmir","Green","0.8 Tonnes","6000.00","5500.00 / 6500.00"
"Capsicum","Nahan ,Himachal Pradesh","Other","0.05 Tonnes","3250.00","3000.00 / 3500.00"
"Drumstick","Kottarakkara ,Kerala","Drumstick","0.11 Tonnes","3700.00","3500.00 / 3900.00"
"Onion","Nautnava ,Uttar Pradesh","Red","1.5 Tonnes","2900.00","2800.00 / 3000.00"
"Bottle Gourd","Lakhimpur ,Uttar Pradesh","Bottle Gourd","10 Tonnes","1200.00","1170.00 / 1240.00"
"Pomegranate","Jhansi ,Uttar Pradesh","Pomogranate","2.2 Tonnes","4050.00","4000.00 / 4150.00"
"Castor Seed","Jambusar(Kaavi) ,Gujarat","Other","1 Tonnes","3800.00","3500.00 / 3900.00"
"Carrot","Mansa(Manas Veg Yard) ,Gujarat","Other","0.04 Tonnes","1100.00","1000.00 / 1200.00"
"Potato","Kathua ,Jammu and Kashmir","Other","4.9 Tonnes","900.00","800.00 / 1000.00"
"Tomato","Kathua ,Jammu and Kashmir","Other","4.9 Tonnes","2250.00","2000.00 / 2500.00"
"Pumpkins","Kottarakkara ,Kerala","Other","0.12 Tonnes","4000.00","3800.00 / 4200.00"
"Onion","Badayoun ,Uttar Pradesh","Nasik","15 Tonnes","2800.00","2750.00 / 2900.00"
"Cluster Beans","Perambra ,Kerala","Other","0.2 Tonnes","3000.00","2900.00 / 3100.00"
"Bajra","Sujangarh(Churu) ,Rajasthan","Other","2 Tonnes","1100.00","1100.00 / 1100.00"
"Gur","Shadabad ,Uttar Pradesh","Red","1.7 Tonnes","2800.00","2700.00 / 2900.00"
"Cotton","Himatnagar ,Gujarat","Cotton (Unginned)","25.6 Tonnes","5800.00","5305.00 / 6355.00"
"Kinnow","Gopiganj ,Uttar Pradesh","Kinnow","2 Tonnes","1000.00","1000.00 / 1000.00"
"Mustard","Lakhimpur ,Uttar Pradesh","Sarson(Black)","120 Tonnes","4350.00","4310.00 / 4410.00"
"Potato","Banga ,Punjab","Other","10.4 Tonnes","601.00","600.00 / 747.00"
"Potato","Mansa(Manas Veg Yard) ,Gujarat","Other","0.04 Tonnes","650.00","600.00 / 700.00"
"Tapioca","Ezhamkulam ,Kerala","Other","2 Tonnes","1600.00","1500.00 / 1600.00"
"Cabbage","Khunthabandha ,Odisha","Other","0.1 Tonnes","1400.00","1400.00 /  1600.00"
